No Strings Attached,Spyglass Entertainment,49,57,Comedy,Comedy,3018,6512,70.662,78.565,149.227,25,5.96908,19.7
One Day,Independent,37,54,Love,Romance,1719,2955,13.843,45.545,59.388,15,3.9592,5.079
Our Idiot Brother,The Weinstein Company,68,79,Comedy,Comedy,2555,2744,24.816,,24.816,5,4.9632,7.01
Paranormal Activity 3,Independent,68,58,Monster Force,Horror,3321,15829,104.028,103.011,207.039,5,41.4078,52.568
Paul,Relativity,72,70,Comedy,Comedy,2802,4655,37.412,60.571,97.983,40,2.449575,13.043
"Pirates of the Caribbean:
On Stranger Tides",Disney,34,61,Quest,Action,4155,21697,241.071,804.64,1045.711,250,4.182844,90.151
Priest,Sony,17,37,Monster Force,Action,2864,5221,29.136,49.172,78.308,60,1.305133333,14.953
Puss In Boots,DreamWorks,83,76,Quest,Animation,3952,8623,149.26,405.726,554.986,130,4.269123077,34.077
Rango,Paramount,88,69,Fish Out Of Water,Animation,3917,9722,123.477,122.246,245.723,135,1.82017037,38.079
Real Steel,DreamWorks Pictures,58,81,Underdog,Action,3440,7942,85.468,213.8,299.268,110,2.720618182,27.319
Red Riding Hood,Warner Bros,11,41,Monster Force,Horror,3030,4622,37.662,51.5,89.162,42,2.122904762,14.005
Red State,Independent,57,59,Escape,Horror,,,1.104,?,1.104,4,0.276,
Rio,20th Century Fox,71,73,Quest,Animation,3826,10252,143.619,341.015,484.634,90,5.384822222,39.225
Rise of the Planet of the Apes,20th Century Fox,83,87,Revenge,Action,3648,15024,176.704,305.04,481.744,93,5.180043011,54.806
Sanctum,Relativity Media,30,39,Quest,Action,2787,3390,23.209,85.4,108.609,30,3.6203,9.4
Scream 4,Weinstein Company,58,57,Monster Force,Horror,3305,5656,38.18,58.957,97.137,40,2.428425,18.692
Season Of The Witch,Relativity,10,32,Monster Force,Action,2816,3769,24.827,66.8,91.627,40,2.290675,10.6
Shame,Independent,80,80,,Drama,10,34952,3.09,13.784,16.874,6.5,2.596,0.34
Shark Night 3D,Relativity,16,25,Escape,Horror,2806,2995,18.877,21.259,40.136,25,1.60544,8.404
Sherlock Holmes 2,Warner Bros,60,79,Pursuit,Action,3703,10704,186.85,358.6,545.45,125,4.3636,39.63
Something Borrowed,Independent,?,?,Love,Romance,2904,4802,39.046,21.137,60.183,35,1.719514286,13.945
Soul Surfer,Sony,46,79,Underdog,Drama,2214,4789,43.853,3.235,47.088,18,2.616,10.6
Source Code,Summit Entertainment,92,81,The Riddle,Thriller,2961,5002,54.712,92.62,147.332,32,4.604125,14.812
Spy Kids: All The Time in the World,Weinstein Company,22,40,Quest,Action,3295,3534,38.538,47.026,85.564,27,3.169037037,11.644
Sucker Punch,Legendary Pictures,23,48,Quest,Action,3033,6284,36.392,53.4,89.792,82,1.09502439,19.058
Super 8,Paramount,82,78,Monster Force,Horror,3379,10492,127.004,133.091,260.095,50,5.2019,35.451
Take Me Home Tonight,Relativity,28,46,Discovery,Comedy,2003,1730,6.928,,6.928,25,0.27712,3.464
Take Shelter,Independent,92,85,Sacrifice,Drama,,,1.73,1.396,3.126,5,0.6252,0.052
The Adjustment Bureau,Independent,72,67,Sacrifice,Thriller,2840,7450,62.495,65.373,127.868,50.2,2.547171315,21.157
The Adventures of Tintin,Paramount,74,78,Quest,Adventure,3087,3149,77.591,296.402,373.993,130,2.876869231,9.72
The Artist,Weinstein Company,97,91,,Drama,662,3583,44.671,88.761,133.432,16,8.3395,2.37
The Beaver,Summit Entertainment,62,57,Transformation,Drama,22,4890,0.97,5.4,6.37,21,0.303333333,0.107
The Big Year,Independent,38,62,Transformation,Comedy,2150,1513,7.204,0.244,7.448,41,0.181658537,3.251
The Change Up,Relativity Media,24,53,Metamorphosis,Comedy,2913,4645,37.081,38.368,75.449,52,1.450942308,13.531
The Company Men,Weinstein Company,66,55,Discovery,Drama,106,6111,4.441,0.441,4.882,15,0.325466667,0.64
The Conspirator,Independent,56,65,Underdog,Drama,707,4960,11.538,3.94,15.478,25,0.61912,3.506
The Debt,Universal,76,70,Pursuit,Thriller,1826,5427,31.177,14.458,45.635,20,2.28175,9.909
The Descendants,20th Century Fox,89,88,Discovery,Drama,876,5000,82.584,94.659,177.243,20,8.86215,4.38
The Dilemma,Spyglass Entertainment,23,31,Comedy,Comedy,2940,6060,48.475,21.246,69.721,70,0.996014286,17.8
The Eagle,Universal,39,43,Quest,Action,2296,3782,19.49,7.631,27.121,25,1.08484,8.684
The Girl With The Dragon Tattoo,Sony,87,89,,Thriller,2914,4382,102.06,130.101,232.161,90,2.579566667,12.76
